Transcript	logFC	AveExpr	t	P.Value	adj.P.Val	B	associated.gene
ENSMUSG00000091971.3	6.75609739084196	7.83592354028838	23.8059731261992	1.58914864365088e-12	2.18285457691885e-08	18.1527629762779	NA
ENSMUSG00000022126.6	7.50052420234901	4.97722588232626	17.6671371613743	8.30379931178622e-11	5.70304936733477e-07	13.5732571663281	NA
ENSMUSG00000037405.8	3.70130786687695	9.04127564655772	16.1686596364762	2.64893172190344e-10	1.21285753773552e-06	13.9597493773407	NA
novelGene_8492	4.33319299532201	7.2131263576699	15.0089008163417	6.96597008011008e-10	2.3921141255098e-06	12.8659216834049	NA
ENSMUSG00000014599.10	4.69121239207542	5.25785555824727	14.716731067078	8.98148696630807e-10	2.46739409938415e-06	12.4177075016644	NA
ENSMUSG00000041827.15	3.81567477040787	7.00396615427251	13.966265991702	1.76198894175196e-09	4.03378001731748e-06	12.0614586750485	NA
ENSMUSG00000015396.4	3.60871362052777	8.79114003631403	13.4123836448786	2.95798458104642e-09	5.80441088646481e-06	11.6788085638878	NA
ENSMUSG00000035678.8	5.61906498286639	5.72769086710042	12.4860757360642	7.34359301963155e-09	1.26089492147074e-05	10.5080595501548	NA
ENSMUSG00000026773.19	3.71542158977844	6.26693830997307	12.2993876137903	8.88213767387e-09	1.35561158986976e-05	10.5580213247675	NA
ENSMUSG00000025498.15	2.8896846612742	9.98670510215644	12.0728167234579	1.12256109354675e-08	1.47276949315624e-05	10.4114780080466	NA
ENSMUSG00000025068.8	4.27601345842056	6.71634253720695	12.0254616492056	1.17941645491545e-08	1.47276949315624e-05	10.285586049721	NA
ENSMUSG00000037411.10	6.5785340117859	3.72318859030818	11.476614961195	2.11664016391616e-08	2.26306810890897e-05	8.59325480126864	NA
ENSMUSG00000027368.6	3.42189693662153	5.64690793556997	11.4657393057287	2.14180878100004e-08	2.26306810890897e-05	9.68773290956778	NA
ENSMUSG00000043953.12	3.0609604208039	7.2431131219155	11.3020645443288	2.56170235906723e-08	2.41355836432919e-05	9.58216488872081	NA
ENSMUSG00000018899.16	2.91667654907748	8.14628079404573	11.2762217443793	2.63565633844917e-08	2.41355836432919e-05	9.5687848072308	NA
ENSMUSG00000034855.13	6.12080141286885	4.17617622189842	11.0061297516437	3.56018717360056e-08	2.93058588485661e-05	8.48920745609074	NA
ENSMUSG00000017652.16	4.54917612794932	5.02965762800289	10.9896120286474	3.62696272878293e-08	2.93058588485661e-05	9.09702537890928	NA
ENSMUSG00000029449.11	4.00595393348879	4.42966737752275	10.861792083128	4.19109809074294e-08	3.1982735208025e-05	8.8420523642846	NA
novelGene_8479	3.60795474587618	5.0912563768427	10.6762246104442	5.18258311085428e-08	3.74673482161549e-05	8.74859748936887	NA
novelGene_8445	3.00082432674575	7.09198423484102	10.4652127877719	6.62187937930167e-08	4.34194788874094e-05	8.66252126006088	NA
ENSMUSG00000026875.14	3.0812082564424	5.75559897953007	10.4631234894329	6.63809738377691e-08	4.34194788874094e-05	8.62321960733204	NA
ENSMUSG00000046718.8	3.69327087833866	6.09879140107997	10.3879891461523	7.25036184223313e-08	4.37044219455987e-05	8.51706748343332	NA
ENSMUSG00000023947.8	2.82162033962638	6.62703579727694	10.3801052103576	7.31800891634224e-08	4.37044219455987e-05	8.55148883055821	NA
ENSMUSG00000042622.14	3.216416999893	6.78099842944183	10.2448590269544	8.58936777471461e-08	4.77346765318275e-05	8.39476148683839	NA
ENSMUSG00000038508.7	3.64249846554275	5.91151568497661	10.2352841059383	8.68787793604897e-08	4.77346765318275e-05	8.36180549979845	NA
ENSMUSG00000030142.10	4.04469532342512	7.07939207976033	10.143781161709	9.69229670833002e-08	5.12051490713928e-05	8.28695053745249	NA
ENSMUSG00000047945.6	2.75925966749092	8.27900291429961	10.1059925236023	1.0142531527071e-07	5.15991900206844e-05	8.24693572508545	NA
