Transcript	logFC	AveExpr	t	P.Value	adj.P.Val	B	associated.gene
ENSMUSG00000091971.3	5.41307085856157	7.83592354028838	13.0882836268088	4.04039183083582e-09	5.54988221883609e-05	10.8547043401592	NA
ENSMUSG00000015396.4	4.31422696251049	8.79114003631403	11.5110563019431	2.03899443253291e-08	0.000127671876573006	9.59363211748031	NA
ENSMUSG00000022126.6	6.25936985961159	4.97722588232626	11.161558351215	2.99234226661977e-08	0.000127671876573006	8.3186050290648	NA
ENSMUSG00000037405.8	3.57479795886216	9.04127564655772	10.9676369981598	3.71787642903338e-08	0.000127671876573006	9.07065364714832	NA
ENSMUSG00000035678.8	5.92663463017399	5.72769086710042	10.0570840918326	1.07585660382425e-07	0.000295559326202597	7.72600641720925	NA
ENSMUSG00000042622.14	4.07561175797334	6.78099842944183	9.6334007906822	1.81018028432546e-07	0.000414410606424908	7.49302859434441	NA
ENSMUSG00000039911.13	5.70804996069747	3.75961843747047	8.85204552033335	4.95377881977697e-07	0.00097207294097795	5.79502526090331	NA
ENSMUSG00000092274.3	-3.12956613197574	6.92273504387047	-8.49737694020805	7.9937009919833e-07	0.00129081837371177	6.16104671857299	NA
ENSMUSG00000014599.10	3.80774567056943	5.25785555824727	8.43414259977506	8.71851891542333e-07	0.00129081837371177	5.92156207309345	NA
ENSMUSG00000037411.10	5.88532136532877	3.72318859030818	8.35794033233551	9.68571908744157e-07	0.00129081837371177	5.11653419650939	NA
ENSMUSG00000038508.7	4.0423017444086	5.91151568497661	8.31103867220849	1.03370720084664e-06	0.00129081837371177	5.8570015646095	NA
ENSMUSG00000029449.11	4.0045828656109	4.42966737752275	8.09382353862487	1.40203487839266e-06	0.0015737263228684	5.36914309212859	NA
ENSMUSG00000030142.10	4.40816679027009	7.07939207976033	8.05120579682644	1.48940318850387e-06	0.0015737263228684	5.58193216204978	NA
ENSMUSG00000004791.7	8.15551078105811	2.15467295213842	7.87939956587409	1.90462370552053e-06	0.00183747216217307	3.10465764305109	NA
ENSMUSG00000041827.15	2.94958121131742	7.00396615427251	7.84329183524346	2.00655812700904e-06	0.00183747216217307	5.3031439704034	NA
ENSMUSG00000043953.12	2.94198585032141	7.2431131219155	7.74941931951996	2.29954660985653e-06	0.0018967532936037	5.18337254552609	NA
ENSMUSG00000047945.6	2.98302995268296	8.27900291429961	7.73527839832399	2.34746694752933e-06	0.0018967532936037	5.17707304334089	NA
ENSMUSG00000015837.15	2.35767876758309	11.0680670293936	7.68341386390029	2.53246836982375e-06	0.00193255475154995	5.10156407003712	NA
ENSMUSG00000034226.7	3.73636019726996	5.15361704455594	7.61257196815744	2.81046316479053e-06	0.00203181694902962	4.89025818588878	NA
ENSMUSG00000023947.8	2.78649914378823	6.62703579727694	7.51794646375421	3.23313747452322e-06	0.00222051881750255	4.84776629298907	NA
ENSMUSG00000045294.11	2.75776910578845	6.89886823539668	7.34371711686912	4.19707532889446e-06	0.00268063258848379	4.60862003520196	NA
ENSMUSG00000026773.19	3.17234522694901	6.26693830997307	7.30701119082904	4.43645743167517e-06	0.00268063258848379	4.54007358332559	NA
ENSMUSG00000051379.12	4.66106046330279	4.52257937398274	7.29930273345656	4.48853738607507e-06	0.00268063258848379	4.31283724230939	NA
ENSMUSG00000017652.16	4.08285268659556	5.02965762800289	7.14648090842232	5.6660475846575e-06	0.00324286790095231	4.23312860797041	NA
ENSMUSG00000018899.16	2.58222193762358	8.14628079404573	7.08748383466242	6.20430635223937e-06	0.0034088940821744	4.24157752174745	NA
ENSMUSG00000027995.10	2.27901867780359	8.98336163089277	6.98325388577742	7.29139360577154e-06	0.00385209932957223	4.08112692011349	NA
ENSMUSG00000021025.8	3.23667887517047	8.84721672480457	6.81245000212896	9.52946464164375e-06	0.00470756458913996	3.82156906530471	NA
ENSMUSG00000015312.9	3.49002649180738	6.18509294303324	6.78628540576267	9.93178443190751e-06	0.00470756458913996	3.77913746134252	NA
ENSMUSG00000018500.2	3.38573999281265	5.09964216503451	6.78583904543513	9.93880118557504e-06	0.00470756458913996	3.74113693428312	NA
ENSMUSG00000044468.14	2.50963451669664	6.72767660453732	6.72942314298558	1.08691179512368e-05	0.00487171055254379	3.70164450579449	NA
ENSMUSG00000034855.13	4.5779849087492	4.17617622189842	6.72220045518002	1.09946874729803e-05	0.00487171055254379	3.41093786686967	NA
ENSMUSG00000039232.12	2.71454077983808	6.09327804402843	6.62472406007723	1.28471934789622e-05	0.00521668956894899	3.53767232371494	NA
ENSMUSG00000028525.16	2.97295178591128	6.72967028899793	6.62218327613715	1.28996655911815e-05	0.00521668956894899	3.53784468926008	NA
ENSMUSG00000031431.13	2.52531346510937	6.4828304521202	6.62155874220931	1.2912597942943e-05	0.00521668956894899	3.53636524618567	NA
ENSMUSG00000002897.5	2.46000689346463	7.32945616730073	6.54598338540043	1.45829385708585e-05	0.00572317840598036	3.41870717352164	NA
ENSMUSG00000085295.7	2.77783677808833	6.78033600479499	6.52224604112587	1.51533492873768e-05	0.00578184460587244	3.38376523695132	NA
ENSMUSG00000026875.14	2.64940237991838	5.75559897953007	6.47908894845052	1.62513941074176e-05	0.00603322025566184	3.31073564029563	NA
ENSMUSG00000030103.11	2.20878453993157	8.14946627538304	6.45222026019258	1.69770326280924e-05	0.00613675053103886	3.2650907136736	NA
ENSMUSG00000028214.13	5.30740718278162	3.11034464973122	6.43388505924215	1.74917155004271e-05	0.00616067190035554	2.81756133042999	NA
ENSMUSG00000030595.15	3.10184222294652	5.50738993113209	6.40704889314391	1.82748116282906e-05	0.006275570313155	3.19558882456817	NA
