Transcript	logFC	AveExpr	t	P.Value	adj.P.Val	B	associated.gene
ENSMUSG00000091971.3	4.81125253724624	7.83592354028838	18.2418172671145	5.45042504378443e-11	7.48670384014229e-07	14.9045517410399	NA
ENSMUSG00000022126.6	4.66253556179961	4.97722588232626	15.3756575174756	5.09478006350658e-10	3.49909494761632e-06	12.5685679693311	NA
ENSMUSG00000014599.10	2.98185840960186	5.25785555824727	10.5177986466143	6.22727465492266e-08	0.000228741128257133	8.53776052670954	NA
ENSMUSG00000037405.8	2.332009950478	9.04127564655772	10.4601733638057	6.66106954738304e-08	0.000228741128257133	8.63531781546123	NA
ENSMUSG00000037411.10	3.47070370253244	3.72318859030818	9.96451592618323	1.20361791662382e-07	0.000330657914054897	7.77619747548572	NA
ENSMUSG00000004791.7	4.31060617876566	2.15467295213842	9.31083012952262	2.72206177505079e-07	0.000623170675701627	6.429266771287	NA
ENSMUSG00000026773.19	2.57147926384996	6.26693830997307	8.87180082373547	4.82545705322013e-07	0.000946892544043311	6.69472859832593	NA
ENSMUSG00000035678.8	3.00586978618155	5.72769086710042	8.32833227527318	1.0091658412105e-06	0.00173273774935842	5.98447117800571	NA
ENSMUSG00000098188.1	2.90060059462964	4.41521958165054	7.98074286932401	1.64674349334442e-06	0.00251329651384211	5.33165946148093	NA
ENSMUSG00000048537.16	3.56124035822387	4.5174535364508	7.88776077452547	1.88181034507615e-06	0.0025848546899966	5.27258309380878	NA
ENSMUSG00000038352.15	2.47957738242	4.46451167120058	7.47930578849078	3.42461757544456e-06	0.00348709298787832	4.77147119630788	NA
ENSMUSG00000029581.14	3.9732335232677	1.83175392083376	7.44836330431325	3.58658470423593e-06	0.00348709298787832	4.40844066369916	NA
ENSMUSG00000035042.2	4.41476185084331	0.912808420274557	7.43581952322073	3.65453345331993e-06	0.00348709298787832	3.94180790781669	NA
ENSMUSG00000017652.16	2.6591574788678	5.02965762800289	7.38754358746	3.92900526873559e-06	0.00348709298787832	4.67619516760729	NA
ENSMUSG00000011158.8	-4.17825440952168	3.69090294988188	-7.3698064622974	4.03525017250863e-06	0.00348709298787832	3.90936503191629	NA
ENSMUSG00000020826.9	6.53135786670289	-0.00239074734813971	7.36544394298129	4.06184389968354e-06	0.00348709298787832	2.55324371161567	NA
ENSMUSG00000017737.2	3.7934959859153	4.5495680718773	7.17887723453891	5.39165426824571e-06	0.00432781226431407	4.28372944494009	NA
ENSMUSG00000015396.4	1.84563321591458	8.79114003631403	7.14177931120109	5.70707860633088e-06	0.00432781226431407	4.28977368342267	NA
ENSMUSG00000039911.13	2.60074952701529	3.75961843747047	7.06931911441548	6.38069760777645e-06	0.00432781226431407	4.16297119863868	NA
ENSMUSG00000020400.17	1.68397734005488	7.34972987479011	7.04924347146524	6.58181769378991e-06	0.00432781226431407	4.17202266237096	NA
ENSMUSG00000057137.9	2.14134371731635	5.77363793330066	7.01375867602159	6.9538432838625e-06	0.00432781226431407	4.13155736767888	NA
ENSMUSG00000018920.11	1.70943260209241	8.6948877112516	7.00912577723478	7.00402819643175e-06	0.00432781226431407	4.0934674164741	NA
ENSMUSG00000021250.13	-1.67245945803484	9.93866169981801	-6.9793408057364	7.33592859319605e-06	0.00432781226431407	4.03848049646747	NA
ENSMUSG00000018930.3	2.45352596267752	4.63844173820644	6.95988133845432	7.56169877282598e-06	0.00432781226431407	4.03810553951068	NA
ENSMUSG00000027215.13	1.87431312848048	6.81282084750754	6.81452412830942	9.49831524522475e-06	0.0049164392022249	3.82231214969613	NA
ENSMUSG00000027368.6	1.89294683653728	5.64690793556997	6.81339079869581	9.5153223615002e-06	0.0049164392022249	3.82681132692838	NA
ENSMUSG00000029449.11	2.10796083008779	4.42966737752275	6.78755313665087	9.91188424161804e-06	0.0049164392022249	3.78538460533335	NA
ENSMUSG00000034855.13	2.2719628095133	4.17617622189842	6.78058034020386	1.00218620895674e-05	0.0049164392022249	3.7803332317015	NA
ENSMUSG00000002108.10	2.19334760311716	4.63874966404584	6.53803292776067	1.47714297552033e-05	0.00699656410749904	3.40775109392851	NA
ENSMUSG00000040363.15	2.60942422875755	4.47994528007658	6.41507001305447	1.80369592863712e-05	0.00825852242525316	3.21709639532902	NA
ENSMUSG00000025854.15	1.58629723469602	8.37368042603713	6.32545302767312	2.08905328796858e-05	0.00925652773017303	3.02571763703173	NA
ENSMUSG00000004891.16	2.21944906608058	5.3636441313186	6.27856544175745	2.25690924121549e-05	0.00968778291791751	3.0026432464295	NA
ENSMUSG00000037759.6	4.01594407600201	1.95691110512479	6.22735291589065	2.45654922363909e-05	0.0102207485900192	2.37618827143553	NA
ENSMUSG00000026981.15	1.66652894354014	7.66919960271524	6.20963001415322	2.52988826485623e-05	0.0102207485900192	2.8376841673076	NA
ENSMUSG00000027995.10	1.4049314255159	8.98336163089277	6.15029126195005	2.79263587719042e-05	0.010959898974025	2.706963526765	NA
ENSMUSG00000047945.6	1.63244035188503	8.27900291429961	6.09331787198799	3.07196505264688e-05	0.0116437866230307	2.62711207486369	NA
ENSMUSG00000001348.15	3.02319371790322	2.69785485389535	6.08094183117683	3.13643058424678e-05	0.0116437866230307	2.63554368161071	NA
ENSMUSG00000020134.13	1.73687770808281	6.85463746004613	5.97426567592812	3.75458784672816e-05	0.0135718470164889	2.47269638169872	NA
ENSMUSG00000024778.13	2.74113842080479	3.51412152724733	5.89865798509019	4.26924624591815e-05	0.0143552888385247	2.37549442107376	NA
ENSMUSG00000043953.12	1.53042972144165	7.2431131219155	5.89773546747784	4.27596398004664e-05	0.0143552888385247	2.32072244424595	NA
ENSMUSG00000090877.3	5.47765157269956	0.10719777805142	5.89651767192449	4.28484888162139e-05	0.0143552888385247	1.47128464368474	NA
ENSMUSG00000038508.7	1.90018975394105	5.91151568497661	5.85925308068871	4.56629391642491e-05	0.0149339555323839	2.2950558402821	NA
ENSMUSG00000027358.6	2.62532747943756	4.20472218678676	5.83381223733627	4.76951378426641e-05	0.0150893927933718	2.27570006694574	NA
ENSMUSG00000032577.16	1.55120492834206	6.31291104128432	5.81607165466022	4.91681470460572e-05	0.0150893927933718	2.22837609861304	NA
ENSMUSG00000000204.16	-2.7610400399464	4.32556763579091	-5.80156386874113	5.04081232108989e-05	0.0150893927933718	2.23793289795188	NA
ENSMUSG00000020696.18	2.55621385329157	3.80285344357793	5.79281303566338	5.11718471888998e-05	0.0150893927933718	2.2010856742658	NA
ENSMUSG00000027962.14	4.76235778983618	0.0531709625135939	5.78761918747938	5.16308576942685e-05	0.0150893927933718	1.21709614236112	NA
ENSMUSG00000062593.17	-3.38871199277565	5.53754155235566	-5.73595819237627	5.64381937462552e-05	0.0157261406405795	2.13069157831795	NA
ENSMUSG00000031779.3	5.00106100901184	1.43029620496537	5.72902185828501	5.71184734542487e-05	0.0157261406405795	1.16033689718655	NA
novelGene_9678	2.31536216877321	3.96919495775088	5.72774886606923	5.72442510213288e-05	0.0157261406405795	2.11586132198984	NA
ENSMUSG00000015837.15	1.22207575745554	11.0680670293936	5.67079732999987	6.31785291580868e-05	0.0170160838532447	1.82974979782844	NA
ENSMUSG00000000732.9	1.81599445154052	5.73206162789085	5.62663325716823	6.82217582503028e-05	0.0177263588037682	1.9063116449264	NA
ENSMUSG00000027646.15	1.99800846264645	3.89767674368221	5.62325321971551	6.86246888061208e-05	0.0177263588037682	1.94334975464054	NA
ENSMUSG00000028214.13	2.63492314656196	3.11034464973122	5.60647980491945	7.0661361708927e-05	0.0177263588037682	1.9098176070158	NA
novelGene_679	-5.22371743228256	-0.565266313758257	-5.60391992981779	7.09777034221936e-05	0.0177263588037682	0.787703844466391	NA
ENSMUSG00000039232.12	1.54501459005084	6.09327804402843	5.56508775020016	7.59623031691877e-05	0.0185586728375812	1.78781160714415	NA
novelGene_691	-4.54912313085189	1.35502666524033	-5.557245988109	7.7012547447738e-05	0.0185586728375812	1.35892683134014	NA
ENSMUSG00000031778.13	1.51965727644123	5.90381554380028	5.54046213398188	7.93117135297515e-05	0.0187832016731839	1.74714182981665	NA
ENSMUSG00000018899.16	1.37629098710705	8.14628079404573	5.49930498639138	8.5258418847274e-05	0.0195948250233683	1.60661137768998	NA
ENSMUSG00000030595.15	1.79344541212917	5.50738993113209	5.49708693274281	8.55918390653827e-05	0.0195948250233683	1.69307414473458	NA
ENSMUSG00000034394.14	4.13976441976172	0.559105685913851	5.47751963732668	8.85928744899528e-05	0.0199493725244917	1.31486445083422	NA
ENSMUSG00000031538.6	4.46443695278987	0.943299070756426	5.45780943058095	9.17270793978839e-05	0.0203219864936989	1.16728453812119	NA
ENSMUSG00000018927.3	1.71100583047729	6.29859276334144	5.41877317986827	9.82808529502306e-05	0.0214283459702281	1.55449705402571	NA
ENSMUSG00000006818.5	1.43798262198195	6.46191274314325	5.38590260935925	0.000104178087635838	0.0223592220588417	1.48405037228359	NA
ENSMUSG00000037966.15	1.84278105550699	6.87496136007931	5.36362775896923	0.000108383297302413	0.0229038918730146	1.41595987424967	NA
ENSMUSG00000041827.15	1.32553900643834	7.00396615427251	5.34726145689894	0.000111585635467849	0.0232233377088844	1.36267442681359	NA
ENSMUSG00000106734.3	-2.37861137361792	5.88846223468459	-5.31743490335916	0.000117677989249785	0.023269211081598	1.41631632427427	NA
ENSMUSG00000030142.10	1.95150258821315	7.07939207976033	5.31709487374362	0.000117749409243643	0.023269211081598	1.3182275499321	NA
ENSMUSG00000038843.18	-1.37322413740644	8.02428410534852	-5.30336335041744	0.000120671669945839	0.023269211081598	1.29967847310216	NA
ENSMUSG00000030790.15	3.73839602297676	0.385595580322285	5.30208200366184	0.000120948187633327	0.023269211081598	1.08565936788932	NA
ENSMUSG00000066152.11	1.61697868797556	6.98045759303865	5.29964003103226	0.000121477001363018	0.023269211081598	1.30605829726773	NA
ENSMUSG00000035274.13	2.67920082024388	1.58376907974304	5.29737231050602	0.000121970238633886	0.023269211081598	1.33224325112828	NA
ENSMUSG00000026875.14	1.43710927261362	5.75559897953007	5.27708374917978	0.000126477048814336	0.0237984759248454	1.29364826101462	NA
ENSMUSG00000060260.13	1.80805828604888	4.3209487943376	5.26523520712067	0.00012918897593141	0.0239802672080249	1.34582436868709	NA
ENSMUSG00000113326.1	-3.28672993881419	4.30866092470925	-5.20975739220048	0.000142716852594244	0.0258849408809944	1.16131770578283	NA
ENSMUSG00000025582.4	2.38668538927153	6.31829115330089	5.20763828449216	0.000143261942427818	0.0258849408809944	1.2212253325701	NA
ENSMUSG00000021277.16	1.90298615857922	4.80288878022383	5.20054092410096	0.000145103410587985	0.0258849408809944	1.19949188042674	NA
ENSMUSG00000034226.7	1.67767317516608	5.15361704455594	5.18061876734954	0.000150405223877732	0.0264867455792888	1.15486604726005	NA
ENSMUSG00000028583.14	1.81621086930567	3.66410763547228	5.1223396691742	0.000167103917364359	0.0290549292267955	1.09938626772088	NA
ENSMUSG00000031431.13	1.34469298047449	6.4828304521202	5.08440715040931	0.000178999483919611	0.0302306049456675	0.934803585168157	NA
ENSMUSG00000024486.6	2.09588089425763	2.98950346993613	5.08411213689591	0.000179095375379591	0.0302306049456675	1.04673402626684	NA
ENSMUSG00000027660.16	1.2847176109768	7.01026755051462	5.07990686103768	0.000180468084270875	0.0302306049456675	0.908923768913984	NA
