Transcript	logFC	AveExpr	t	P.Value	adj.P.Val	B	associated.gene
ENSMUSG00000030103.11	-2.51398318049984	8.14946627538304	-10.3829215918811	7.29376649903867e-08	0.00100187176630795	8.44048210888947	NA
ENSMUSG00000042622.14	-2.98542526823882	6.78099842944183	-9.61096069332086	1.86166243868444e-07	0.00111849662450619	7.45917192653209	NA
ENSMUSG00000027358.6	4.12235642536866	4.20472218678676	9.39559849749294	2.4428435305173e-07	0.00111849662450619	6.74000426903047	NA
ENSMUSG00000015396.4	-2.46859374659591	8.79114003631403	-9.0942569759656	3.60120306771724e-07	0.00114088532586887	6.96533637063899	NA
ENSMUSG00000017737.2	5.2325827842325	4.5495680718773	8.98539880709244	4.15290232188726e-07	0.00114088532586887	6.15060974846815	NA
ENSMUSG00000030789.9	3.69218475110576	4.0839202186428	8.66944550369991	6.32658356178639e-07	0.00144836586341163	6.11714660028924	NA
ENSMUSG00000092274.3	2.0501916492918	6.92273504387047	8.34477111832066	9.86409504834648e-07	0.00158223030515812	6.00195518733056	NA
ENSMUSG00000023034.7	-2.22316872813343	7.61809608829796	-8.31986283339825	1.02110673719193e-06	0.00158223030515812	5.96390495167459	NA
ENSMUSG00000026826.13	-4.4393693457651	3.61742767917554	-8.30896149890897	1.03669720052585e-06	0.00158223030515812	4.72466706857329	NA
ENSMUSG00000037071.3	-3.80010489844107	1.68762126734588	-8.20399579359758	1.20039427088691e-06	0.00164886157049027	5.14558793455129	NA
ENSMUSG00000004891.16	2.54971392266161	5.3636441313186	7.99951209305969	1.60318367436012e-06	0.00178962332204312	5.47322767526318	NA
ENSMUSG00000022351.14	-2.04627028464921	6.49429371915831	-7.98368406353054	1.63983555009864e-06	0.00178962332204312	5.51265996942422	NA
ENSMUSG00000058258.14	-2.1757258704588	4.96361763116957	-7.96107682769824	1.69373203163661e-06	0.00178962332204312	5.44132960426694	NA
ENSMUSG00000038393.14	2.006760779257	8.09019385452538	7.78621277386935	2.17964810356814e-06	0.00213854616790085	5.25240490777679	NA
ENSMUSG00000042677.7	-1.8879629199494	7.92969004295054	-7.63725924281699	2.71009009087079e-06	0.0023355884031665	5.03888044949343	NA
ENSMUSG00000059743.12	-3.44592345941765	4.20149885443095	-7.60212260313974	2.85412548848605e-06	0.0023355884031665	4.76378496323668	NA
ENSMUSG00000025498.15	-1.82789654770507	9.98670510215644	-7.57947403530711	2.9512430438172e-06	0.0023355884031665	4.95832945559653	NA
