Transcript	logFC	AveExpr	t	P.Value	adj.P.Val	B	associated.gene
novelGene_1351	3.38737447933525	5.56044725015561	11.2986361724616	2.57138472107311e-08	0.000353205405286602	9.47125273782384	NA
novelGene_1342	2.98510622624416	5.49213601483455	10.4709059243842	6.57790061826473e-08	0.000451770214462422	8.60155406490832	NA
ENSMUSG00000025068.8	3.47898408418316	6.71634253720695	10.0019942624163	1.15004619857528e-07	0.000526567819454336	8.10779137690149	NA
novelGene_8492	2.52911384515392	7.2131263576699	9.72473039949123	1.6157557088974e-07	0.000554850510435368	7.79141988631725	NA
ENSMUSG00000058258.14	-2.5520089694963	4.96361763116957	-8.56832751418253	7.25584381028938e-07	0.0019933254115627	6.31213281001533	NA
ENSMUSG00000005370.4	2.84417815359271	7.1765779783956	8.3147162430396	1.02843589564011e-06	0.00203063435207631	5.97031635488379	NA
novelGene_1337	3.12981720913296	3.98016868519709	8.27373592384239	1.08882341431133e-06	0.00203063435207631	5.87422341428499	NA
novelGene_8479	2.37059889334703	5.0912563768427	8.040861861601	1.51146664655345e-06	0.00203063435207631	5.60833867821154	NA
novelGene_9743	7.51973706838822	0.80649691699653	8.03999551637182	1.51333019349896e-06	0.00203063435207631	3.35964897617713	NA
novelGene_8468	3.15526202212011	3.6814452550148	8.03866845574147	1.5161894799977e-06	0.00203063435207631	5.53679039090472	NA
ENSMUSG00000001482.15	2.6083950743972	6.93809377343286	7.89202818900908	1.87027846725503e-06	0.00203063435207631	5.3838802628427	NA
ENSMUSG00000037071.3	-4.67550058363656	1.68762126734588	-7.83164304311929	2.0406628794189e-06	0.00203063435207631	4.80300961827203	NA
ENSMUSG00000079138.3	6.3606858410785	3.43676233824132	7.78972453546103	2.16855533870618e-06	0.00203063435207631	4.89834483248212	NA
ENSMUSG00000032712.16	2.52118477386317	6.67383819681439	7.72250206746031	2.39167199588607e-06	0.00203063435207631	5.14104816991721	NA
ENSMUSG00000022351.14	-2.0276373624721	6.49429371915831	-7.67871403872489	2.54997863346437e-06	0.00203063435207631	5.07790703582152	NA
novelGene_1330	3.07261594432632	3.92262592452781	7.6749572640479	2.56406744276918e-06	0.00203063435207631	5.06160030635304	NA
ENSMUSG00000001467.5	-2.43883116930625	5.81218214580598	-7.65153083808333	2.6538005640235e-06	0.00203063435207631	5.05302762253467	NA
novelGene_1339	3.66581392797032	2.99679319934128	7.64968917985373	2.66099434605224e-06	0.00203063435207631	4.87006829913604	NA
novelGene_8445	2.14708578491898	7.09198423484102	7.5616113872844	3.03030162903138e-06	0.00219074858823026	4.90132057501942	NA
ENSMUSG00000093930.2	-2.07756144214191	6.31764043757845	-7.4510159570872	3.57238727565215e-06	0.00245351558091789	4.75177294672516	NA
ENSMUSG00000076617.9	-3.30840504731324	2.90961834401173	-7.29438849992902	4.52207574686688e-06	0.00283430726470511	4.51124748521061	NA
