Ctrl_Mock_R1_Cell	Ctrl_Mock_R2_Cell	Ctrl_48hpi_R1_Cell	Brf1_Mock_R1_Cell	Brf1_Mock_R2_Cell	Brf1_48hpi_R1_Cell	Brf1_48hpi_R2_Cell	Ctrl_48hpi_R2_Cell
ENSMUSG00000000001.4	940	635	514	665	596	288	279	175
ENSMUSG00000000028.15	75	83	93	42	42	49	57	23
ENSMUSG00000000037.17	1	1	3	1	2	0	0	1
ENSMUSG00000000056.7	250	184	124	201	189	88	93	84
ENSMUSG00000000058.6	603	724	83	812	892	68	354	213
ENSMUSG00000000078.7	873	1295	1020	466	606	526	574	185
ENSMUSG00000000085.16	51	47	32	53	59	24	26	24
ENSMUSG00000000088.7	36	31	30	15	11	33	23	9
ENSMUSG00000000094.12	0	0	0	1	0	0	1	0
ENSMUSG00000000126.11	8	4	1	5	4	5	1	3
ENSMUSG00000000127.15	195	133	128	157	163	79	70	50
ENSMUSG00000000131.15	103	188	219	387	122	228	93	84
ENSMUSG00000000134.17	775	483	337	974	761	321	356	252
ENSMUSG00000000148.17	79	48	50	94	74	62	41	39
ENSMUSG00000000149.10	99	105	55	235	158	57	42	27
ENSMUSG00000000154.16	7	7	8	2	4	11	14	5
ENSMUSG00000000167.14	0	0	0	5	0	0	0	0
ENSMUSG00000000168.9	391	264	217	215	229	115	135	86
ENSMUSG00000000171.5	140	343	216	104	96	261	270	113
ENSMUSG00000000184.12	181	288	449	132	126	273	279	140
ENSMUSG00000000194.13	303	241	181	334	258	230	209	163
ENSMUSG00000000202.9	1	2	3	4	1	0	0	1
ENSMUSG00000000204.16	86	44	354	19	14	17	47	89
ENSMUSG00000000244.17	118	157	103	40	41	62	57	29
ENSMUSG00000000247.11	1	6	5	2	0	2	4	0
ENSMUSG00000000253.13	36	67	32	16	15	32	24	10
ENSMUSG00000000275.16	1557	1460	1062	2488	1473	1043	1268	1233
ENSMUSG00000000276.11	57	45	38	59	52	30	26	19
ENSMUSG00000000278.10	1649	1441	683	892	1052	640	757	257
ENSMUSG00000000282.12	173	130	63	345	215	52	59	93
ENSMUSG00000000290.13	7472	5391	4875	7018	5928	3128	3483	2927
ENSMUSG00000000290.13_ENSMUSG00000009291.13	0	0	0	1	0	1	0	0
ENSMUSG00000000295.13	4	10	10	1	3	6	4	2
ENSMUSG00000000301.16	1	2	0	0	0	2	0	0
ENSMUSG00000000303.12	11	4	2	1	0	3	0	5
ENSMUSG00000000317.11	2	7	0	2	3	1	2	1
ENSMUSG00000000318.16	117	186	128	72	81	68	86	68
ENSMUSG00000000325.16	3	5	0	2	0	6	2	2
ENSMUSG00000000326.13	70	162	92	38	46	89	85	30
ENSMUSG00000000339.14	72	125	97	27	40	66	79	13
ENSMUSG00000000340.10	84	67	82	39	54	15	16	14
ENSMUSG00000000346.9	2953	2872	1945	1717	1958	1275	1398	604
ENSMUSG00000000355.13	5	11	27	8	5	11	8	7
ENSMUSG00000000365.9	0	4	5	6	8	3	3	1
ENSMUSG00000000374.8	27	17	14	43	41	15	14	13
ENSMUSG00000000378.15	46	54	52	37	44	41	23	7
ENSMUSG00000000384.15	148	105	94	112	119	53	88	66
ENSMUSG00000000386.16	346	297	499	120	128	153	139	191
ENSMUSG00000000399.10	90	210	136	44	53	160	164	43
ENSMUSG00000000409.14	0	2	2	0	1	0	1	0
ENSMUSG00000000420.15	70	99	132	112	66	59	28	39
ENSMUSG00000000439.9	145	140	103	82	94	75	76	49
ENSMUSG00000000440.12	179	194	190	141	145	86	103	33
ENSMUSG00000000441.17	549	374	293	506	511	231	289	218
ENSMUSG00000000489.7	43	46	42	29	16	47	56	18
ENSMUSG00000000530.16	119	95	52	100	70	54	64	34
ENSMUSG00000000531.5	44	62	63	2	5	31	25	16
ENSMUSG00000000532.11	114	103	74	187	120	72	87	90
ENSMUSG00000000538.18	154	91	63	223	148	93	110	92
ENSMUSG00000000552.10	148	131	78	206	191	78	86	50
ENSMUSG00000000555.8	859	615	495	1108	796	1014	937	510
ENSMUSG00000000561.14	113	84	85	90	94	47	51	23
ENSMUSG00000000562.5	5	4	2	3	4	5	2	2
ENSMUSG00000000563.17	140	234	192	67	71	118	147	48
ENSMUSG00000000567.5	28	26	37	3	3	20	26	13
ENSMUSG00000000568.15	8	12	12	9	7	3	6	9
ENSMUSG00000000579.14	38	51	44	19	27	48	37	26
ENSMUSG00000000581.8	130	202	150	55	82	54	44	43
ENSMUSG00000000594.7	2102	1744	1279	1414	1444	932	965	469
ENSMUSG00000000600.15	110	87	108	66	69	41	54	26
ENSMUSG00000000600.15_ENSMUSG00000040367.2	1	0	1	0	0	1	0	1
ENSMUSG00000000605.9	512	444	446	425	410	201	216	132
ENSMUSG00000000628.10	142	119	94	201	130	224	188	134
ENSMUSG00000000631.20	216	176	122	340	232	144	108	170
ENSMUSG00000000673.9	4	8	3	1	1	3	3	2
ENSMUSG00000000682.7	41	25	49	5	2	33	38	23
ENSMUSG00000000686.11	172	118	136	155	167	80	96	69
ENSMUSG00000000693.10	36	17	26	29	25	30	28	18
ENSMUSG00000000708.14	41	32	46	58	18	21	10	9
ENSMUSG00000000711.3	1191	860	588	1043	929	512	501	341
ENSMUSG00000000732.9	156	98	104	78	58	313	361	83
ENSMUSG00000000738.18	65	152	229	163	68	169	89	52
ENSMUSG00000000740.12	112	136	136	29	55	139	84	74
ENSMUSG00000000743.9	1142	1063	745	724	781	483	595	327
ENSMUSG00000000751.13	711	492	436	433	483	321	322	217
ENSMUSG00000000759.14	235	183	164	240	168	101	93	89
ENSMUSG00000000776.13	41	43	51	28	34	27	43	11
ENSMUSG00000000787.12	299	272	265	442	281	65	87	79
ENSMUSG00000000804.14	14	16	19	29	15	21	6	7
ENSMUSG00000000811.13	24	25	15	16	13	12	18	7
ENSMUSG00000000823.16	11	16	17	27	12	12	7	8
ENSMUSG00000000826.16	609	479	374	712	532	344	337	254
ENSMUSG00000000827.18	255	217	140	136	162	117	124	61
ENSMUSG00000000838.17	68	73	152	105	72	85	30	26
ENSMUSG00000000876.11	52	56	29	28	23	10	17	12
ENSMUSG00000000884.17	3	5	2	2	1	6	3	0
ENSMUSG00000000901.17	1	3	0	2	0	7	1	1
ENSMUSG00000000902.13	91	140	85	54	74	95	98	26
ENSMUSG00000000915.15	0	1	0	0	0	0	2	0
ENSMUSG00000000916.15	28	24	20	20	21	16	14	6
ENSMUSG00000000934.9	19	16	23	18	14	14	16	13
ENSMUSG00000000957.11	3	0	0	1	0	10	6	0
ENSMUSG00000000958.10	58	53	53	21	32	59	35	24
ENSMUSG00000000959.7	30	33	29	27	23	31	40	12
ENSMUSG00000000976.13	102	78	77	129	99	67	59	40
ENSMUSG00000000982.5	35	44	66	23	38	104	68	24
ENSMUSG00000001014.6_ENSMUSG00000037405.8	0	0	0	0	0	1	1	0
