Ctrl_Mock_R1_Cell	Ctrl_Mock_R2_Cell	Ctrl_48hpi_R1_Cell	Brf1_Mock_R1_Cell	Brf1_Mock_R2_Cell	Brf1_48hpi_R1_Cell	Brf1_48hpi_R2_Cell	Ctrl_48hpi_R2_Cell	gene_id
PB.1.1	0	0	19	0	0	18	11	9	gene-MuHV4gp01
PB.1.2	0	0	1	0	0	1	1	0	gene-MuHV4gp01
PB.1.3	0	0	3	0	0	3	4	1	gene-MuHV4gp01
PB.2.1	0	0	2165	0	0	2668	2649	701	gene-MuHV4gp04
PB.2.10	0	0	0	0	0	0	1	1	gene-MuHV4gp04
PB.2.100	0	0	25	0	0	33	23	13	gene-GAMMAHV.ORF9
PB.2.101	0	0	29	0	0	26	31	14	gene-GAMMAHV.ORF9
PB.2.102	0	0	2	0	0	2	1	3	gene-MuHV4gp08
PB.2.103	0	0	1	0	0	3	3	2	gene-GAMMAHV.ORF7_gene-MuHV4gp08
PB.2.104	0	0	0	0	0	0	2	1	gene-MuHV4gp08
PB.2.105	0	0	1	0	0	0	1	0	gene-GAMMAHV.ORF7_gene-MuHV4gp08
PB.2.106	0	0	1	0	0	1	0	0	gene-GAMMAHV.ORF7_gene-MuHV4gp08
PB.2.107	0	0	0	0	0	1	0	1	gene-GAMMAHV.ORF7_gene-MuHV4gp08
PB.2.108	0	0	0	0	0	1	0	1	gene-GAMMAHV.ORF7_gene-MuHV4gp08
PB.2.109	0	0	4	0	0	0	5	2	gene-MuHV4gp08
PB.2.11	0	0	0	0	0	0	1	1	gene-MuHV4gp04
PB.2.110	0	0	14	0	0	13	26	14	gene-MuHV4gp08
PB.2.111	0	0	0	0	0	0	0	2	gene-GAMMAHV.ORF7_gene-MuHV4gp08
PB.2.112	0	0	1	0	0	1	0	0	gene-GAMMAHV.ORF7_gene-MuHV4gp08
PB.2.113	0	0	0	0	0	2	0	0	gene-MuHV4gp08
PB.2.114	0	0	0	0	0	1	1	0	gene-GAMMAHV.ORF9
PB.2.115	0	0	0	0	0	2	0	1	gene-GAMMAHV.ORF9
PB.2.116	0	0	4	0	0	0	0	0	gene-GAMMAHV.ORF9
PB.2.117	0	0	3	0	0	0	3	1	gene-GAMMAHV.ORF9
PB.2.118	0	0	3	0	0	1	3	5	gene-GAMMAHV.ORF9
PB.2.119	0	0	2	0	0	0	0	0	gene-GAMMAHV.ORF10
PB.2.12	0	0	1	0	0	1	1	0	gene-MuHV4gp04
PB.2.120	0	0	1	0	0	0	2	0	gene-GAMMAHV.ORF9
PB.2.121	0	0	0	0	0	0	2	0	gene-GAMMAHV.ORF10
PB.2.122	0	0	0	0	0	0	3	0	gene-GAMMAHV.ORF9_gene-MuHV4gp11
PB.2.123	0	0	1	0	0	0	1	1	gene-GAMMAHV.ORF10
PB.2.124	0	0	0	0	0	1	1	0	gene-GAMMAHV.ORF9_gene-MuHV4gp11
PB.2.125	0	0	0	0	0	2	0	0	gene-MuHV4gp11
PB.2.126	0	0	0	0	0	2	0	0	gene-MuHV4gp11
PB.2.127	0	0	0	0	0	0	2	0	gene-MuHV4gp11_gene-MuHV4gp42
PB.2.128	0	0	47	0	0	14	1	1	gene-MuHV4gp16_gene-GAMMAHV.M6
PB.2.129	0	0	1	0	0	0	1	0	gene-MuHV4gp16_gene-GAMMAHV.M6
PB.2.13	0	0	1	0	0	1	0	0	gene-MuHV4gp04
PB.2.130	0	0	4	0	0	0	1	1	gene-MuHV4gp16_gene-GAMMAHV.M6
PB.2.131	0	0	578	0	0	352	417	258	gene-MuHV4gp16
PB.2.132	0	0	9	0	0	5	5	1	gene-MuHV4gp16
PB.2.133	0	0	45	0	0	23	20	22	gene-MuHV4gp16
PB.2.134	0	0	6	0	0	2	4	2	gene-MuHV4gp16
PB.2.135	0	0	0	0	0	0	1	1	gene-MuHV4gp16
PB.2.136	0	0	6	0	0	3	3	0	gene-MuHV4gp16
PB.2.137	0	0	6652	0	0	10898	9869	5126	gene-MuHV4gp20
PB.2.138	0	0	3421	0	0	4669	5527	1575	gene-MuHV4gp19
PB.2.139	0	0	1118	0	0	1658	1859	596	gene-MuHV4gp19
PB.2.14	0	0	0	0	0	2	0	0	gene-MuHV4gp04
PB.2.140	0	0	1195	0	0	1953	2240	664	gene-MuHV4gp19
PB.2.141	0	0	2	0	0	0	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.142	0	0	8	0	0	16	17	6	gene-GAMMAHV.ORF57_gene-GAMMAHV.ORF56_gene-MuHV4gp19
PB.2.143	0	0	0	0	0	0	1	2	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.144	0	0	8	0	0	32	33	38	gene-MuHV4gp20
PB.2.145	0	0	5	0	0	7	9	1	gene-MuHV4gp19
PB.2.146	0	0	0	0	0	1	0	1	gene-MuHV4gp19
PB.2.147	0	0	0	0	0	0	1	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.148	0	0	3	0	0	0	2	2	gene-MuHV4gp19
PB.2.149	0	0	0	0	0	0	1	1	gene-MuHV4gp19
PB.2.15	0	0	1	0	0	0	1	0	gene-MuHV4gp04
PB.2.150	0	0	2	0	0	10	8	2	gene-MuHV4gp19
PB.2.151	0	0	0	0	0	0	4	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.152	0	0	0	0	0	1	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.153	0	0	0	0	0	0	0	2	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.154	0	0	0	0	0	1	0	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.155	0	0	0	0	0	1	1	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.156	0	0	1	0	0	0	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.157	0	0	0	0	0	0	1	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.158	0	0	0	0	0	2	0	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.159	0	0	0	0	0	2	1	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.16	0	0	1	0	0	2	2	0	gene-MuHV4gp04
PB.2.160	0	0	1	0	0	0	2	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.161	0	0	1	0	0	2	2	0	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.162	0	0	1	0	0	0	0	2	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.163	0	0	0	0	0	1	1	1	gene-MuHV4gp20_gene-MuHV4gp19
PB.2.164	0	0	2	0	0	4	8	1	gene-MuHV4gp19
PB.2.165	0	0	4	0	0	4	3	0	gene-MuHV4gp20_gene-MuHV4gp19
